Insert Index;Insert Time (ms);Insert Operation Count;Search Index;Contains Time (ms);Contains Operation Count;Delete Time (ms);Delete Operations Count
1009;400;40;;;;;
1010;1100;113;;;;;
1011;500;40;;;;;
1012;1700;49;;;;;
1013;500;46;;;;;
1014;700;63;;;;;
1015;600;44;;;;;
1016;600;64;;;;;
1017;600;57;;;;;
1018;800;51;;;;;
1019;600;44;;;;;
1020;500;48;;;;;
1021;1000;75;;;;;
1022;700;72;;;;;
1023;500;46;;;;;
1024;800;46;;;;;
1025;700;56;;;;;
1026;900;71;;;;;
1027;700;55;;;;;
1028;500;50;;;;;
1029;500;48;;;;;
1030;400;40;;;;;
1031;600;55;;;;;
1032;700;74;;;;;
1033;800;70;;;;;
1034;700;68;;;;;
1035;700;59;;;;;
1036;600;68;;;;;
1037;700;50;;;;;
1038;800;44;;;;;
1039;900;86;;;;;
1040;700;63;;;;;
1041;700;66;;;;;
1042;600;48;;;;;
1043;800;71;;;;;
1044;1100;103;;;;;
1045;600;53;;;;;
1046;500;50;;;;;
1047;700;67;;;;;
1048;800;70;;;;;
1049;600;53;;;;;
1050;600;45;;;;;
1051;400;42;;;;;
1052;600;64;;;;;
1053;1200;128;;;;;
1054;700;65;;;;;
1055;500;47;;;;;
1056;700;66;;;;;
1057;900;98;;;;;
1058;500;51;;;;;
1059;500;46;;;;;
1060;500;48;;;;;
1061;1100;51;;;;;
1062;800;59;;;;;
1063;600;59;;;;;
1064;600;51;;;;;
1065;700;65;;;;;
1066;600;65;;;;;
1067;600;51;;;;;
1068;700;71;;;;;
1069;700;61;;;;;
1070;900;87;;;;;
1071;700;68;;;;;
1072;600;42;;;;;
1073;600;54;;;;;
1074;1200;91;;;;;
1075;600;64;;;;;
1076;800;58;;;;;
1077;1500;140;;;;;
1078;900;76;;;;;
1079;700;70;;;;;
1080;900;91;;;;;
1081;600;59;;;;;
1082;500;48;;;;;
1083;900;97;;;;;
1084;1100;104;;;;;
1085;700;61;;;;;
1086;600;77;;;;;
1087;700;59;;;;;
1088;700;67;;;;;
1089;900;78;;;;;
1090;700;55;;;;;
1091;900;91;;;;;
1092;500;48;;;;;
1093;600;55;;;;;
1094;800;58;;;;;
1095;600;58;;;;;
1096;700;70;;;;;
1097;600;59;;;;;
1098;1600;82;;;;;
1099;600;55;;;;;
1100;600;53;;;;;
1101;500;53;;;;;
1102;700;42;;;;;
